Scopus Source ID,Title,Citation Count,Scholarly Output,Percent Cited,CiteScore 2020,SNIP,SJR,Scopus ASJC Code (Sub-subject Area),Scopus Sub-Subject Area,Percentile,RANK,Rank Out Of,Publisher,Type,Open Access,Quartile,Top 10% (CiteScore Percentile),URL Scopus Source ID,Print ISSN,E-ISSN
12815,Journal of Information Technology,870,77,84,11.3,3.247,1.939,1710,Information Systems,95,16,329,Springer Nature,j, NO,1,TRUE,https://www.scopus.com/sourceid/12815,2683962,14664437
12872,Cognitive Psychology,750,131,82,5.7,2.098,2.223,1702,Artificial Intelligence,69,69,227,Elsevier,j, NO,2,FALSE,https://www.scopus.com/sourceid/12872,100285,10955623
12874,Cognitive Science,2352,494,75,4.8,1.558,1.498,1702,Artificial Intelligence,64,82,227,Wiley-Blackwell,j, NO,2,FALSE,https://www.scopus.com/sourceid/12874,3640213,15516709
12886,Cognitive Systems Research,2403,401,79,6,1.569,0.52,1712,Software,74,99,389,Elsevier,j, NO,2,FALSE,https://www.scopus.com/sourceid/12886,13890417,
12886,Cognitive Systems Research,2403,401,79,6,1.569,0.52,1702,Artificial Intelligence,72,64,227,Elsevier,j, NO,2,FALSE,https://www.scopus.com/sourceid/12886,13890417,
12906,Proceedings of the IEEE Symposium on Reliable Distributed Systems,397,148,48,2.7,1.133,0.291,1705,Computer Networks and Communications,52,160,334,IEEE,p, NO,2,FALSE,https://www.scopus.com/sourceid/12906,10609857,
12906,Proceedings of the IEEE Symposium on Reliable Distributed Systems,397,148,48,2.7,1.133,0.291,1708,Hardware and Architecture,41,92,157,IEEE,p, NO,3,FALSE,https://www.scopus.com/sourceid/12906,10609857,
12906,Proceedings of the IEEE Symposium on Reliable Distributed Systems,397,148,48,2.7,1.133,0.291,1712,Software,40,231,389,IEEE,p, NO,3,FALSE,https://www.scopus.com/sourceid/12906,10609857,
12914,Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice,1304,1110,51,1.2,0.585,0.232,1706,Computer Science Applications,25,515,693,Zhongguo Xitong Gongcheng Xuehui,j, NO,3,FALSE,https://www.scopus.com/sourceid/12914,10006788,
12931,Cybernetics and Systems,458,151,60,3,1.116,0.322,1710,Information Systems,54,150,329,Taylor & Francis,j, NO,2,FALSE,https://www.scopus.com/sourceid/12931,1969722,10876553
12931,Cybernetics and Systems,458,151,60,3,1.116,0.322,1702,Artificial Intelligence,46,121,227,Taylor & Francis,j, NO,3,FALSE,https://www.scopus.com/sourceid/12931,1969722,10876553
12931,Cybernetics and Systems,458,151,60,3,1.116,0.322,1712,Software,44,217,389,Taylor & Francis,j, NO,3,FALSE,https://www.scopus.com/sourceid/12931,1969722,10876553
12933,Cybernetics and Systems Analysis,638,419,50,1.5,1.17,0.25,1700,Computer Science (all),42,130,226,Springer Nature,j, NO,3,FALSE,https://www.scopus.com/sourceid/12933,10600396,15738337
12960,International Journal of Human Computer Studies,3130,391,87,8,2.117,0.733,1709,Human-Computer Interaction,87,16,120,Elsevier,j, NO,1,FALSE,https://www.scopus.com/sourceid/12960,10715819,10959300
12960,International Journal of Human Computer Studies,3130,391,87,8,2.117,0.733,1708,Hardware and Architecture,86,22,157,Elsevier,j, NO,1,FALSE,https://www.scopus.com/sourceid/12960,10715819,10959300
