 Barakova E.	['Mazaitis K.', 'Yu Y.', 'Raedt L.', 'Hitzler P.', 'Icard T.', 'Zaverucha G.', 'Demeester T.', 'Riedel S.', 'Diligenti M.', 'Gori M.', 'Maggini M.', 'Rigutini L.', 'Ding L.', 'Donadello I.', 'Serafini L.', 'Garcez A.', 'Gabrilovich E.', 'Heitz G.', 'Horn W.', 'Lao N.', 'Murphy K.', 'Zhang W.', 'Ebrahimi M.', 'Bianchi F.', 'Xie N.', 'Doran D.', 'Hitzler P.', 'Eiter T.', 'Lukasiewicz T.', 'Evans R.', 'Saxton D.', 'Amos D.', 'Kohli P.', 'Grefenstette E.', 'Zaverucha G.', 'Abadie J.', 'Mirza M.', 'Xu B.', 'Farley D.', 'Ozair S.', 'Bengio Y.', 'Graves A.', 'Wayne G.', 'Reynolds M.', 'Harley T.', 'Danihelka I.', 'Hassabis D.', 'Guo Y.', 'Pan Z.', 'Heflin J.', 'Hammer B.', 'Hitzler P.', 'Hassabis D.', 'Kumaran D.', 'Summerfield C.', 'Botvinick M.', 'Henaff M.', 'Weston J.', 'Szlam A.', 'Bordes A.', 'Cun Y.', 'Hu Z.', 'Ma X.', 'Liu Z.', 'Hovy E.', 'Xing E.', 'Kok S.', 'Domingos P.', 'Lembo D.', 'Lenzerini M.', 'Rosati R.', 'Ruzzi M.', 'Lukasiewicz T.', 'Pieris A.', 'Makni B.', 'Hendler J.', 'Manhaeve R.', 'Kimmig A.', 'Demeester T.', 'Raedt L.', 'Martin A.', 'Mikolov T.']
 Baraniuk R.G.	['Molnar C.', 'Dombi J.', 'Gera Z.S.', 'Dombi J.', 'Dombi J.', 'Gera Z.S.', 'Maas A.L.', 'Hannun A.Y.', 'Ng A.Y.', 'Clevert D.', 'Unterthiner T.', 'Hochreiter S.', 'Elfwing S.', 'Uchibe E.', 'Doya K.', 'Bengio Y.', 'Bizer C.', 'Lehmann J.', 'Kobilarov G.', 'Auer S.', 'Becker C.', 'Cyganiak R.', 'Hellmann S.', 'Bouchard G.', 'Singh S.', 'Trouillon T.', 'Potts C.', 'Potts C.', 'Ke D.', 'Xu Y.', 'Su K.', 'Gottlob G.', 'Lukasiewicz T.', 'Cingillioglu N.', 'Russo A.', 'Yang F.']
 Batista-Navarro R.	['Chen H.J.', 'Bakker R.R.', 'Bollacker K.', 'Bordes A.', 'Bordes A.', 'Carlson A.', 'Dunteman G.H.', 'Cun Y.', 'Bengio Y.', 'Hinton G.', 'Schmidhuber J.', 'Goodfellow I.', 'Bengio Y.', 'Courville A.', 'Lin Y.', 'Lao N.', 'Mitchell T.', 'Cohen W.W.', 'Feng J.', 'Huang M.', 'Yang Y.', 'Raedt L.D.', 'Driessens K.', 'Nickel M.', 'Tresp V.', 'Santoro A.', 'Bordes A.', 'Glorot X.', 'Weston J.', 'Gardner M.', 'Socher R.', 'Chen D.', 'Manning C.D.', 'Ng A.', 'Bordes A.', 'He H.', 'Balakrishnan A.', 'Eric M.', 'Yang F.', 'Yang Z.', 'Cohen W.W.', 'Schoenmackers S.', 'Hinton G.', 'Silver D.', 'Silver D.', 'Zhang C.', 'Vinyals O.', 'Munos R.', 'Glorot X.', 'Bengio Y.', 'Mnih V.', 'Sutton R.S.', 'Barto A.G.', 'Driessens K.', 'Ramon J.', 'Otterlo M.', 'Muggleton S.']
 Bauckhage C.	['Yang Y.']
 Bazhenov R.	['Hitzler P.', 'Lehmann J.', 'Isele R.', 'Jakob M.', 'Jentzsch A.', 'Kontokostas D.', 'Mendes P.N.', 'Hellmann S.', 'Bizer C.', 'Lipton Z.C.', 'Lundberg S.M.', 'Mehrabi N.', 'Morstatter F.', 'Saxena N.', 'Lerman K.', 'Galstyan A.', 'Miller G.A.', 'Miller T.', 'Mulwad V.', 'Finin T.', 'Joshi A.', 'Mulwad V.', 'Finin T.', 'Joshi A.', 'Nunes I.', 'Jannach D.', 'Panigutti C.', 'Perotti A.', 'Pedreschi D.']
 Beckh K.	['Yang Y.']
 Belaïd Y.	['Doran D.', 'Hitzler P.', 'Evans R.', 'Saxton D.', 'Amos D.', 'Kohli P.', 'Grefenstette E.', 'Representations ICLR', 'Vancouver BC', 'Fanizzi N.', 'Amato C.', 'Esposito F.', 'Ghazvininejad M.', 'Brockett C.', 'Chang M.', 'Dolan B.', 'Gao J.', 'Yih W.', 'Galley M.', 'Grover A.', 'Leskovec J.', 'Francisco CA', 'Guidotti R.', 'Monreale A.', 'Ruggieri S.', 'Turini F.', 'Giannotti F.', 'Pedreschi D.', 'Gunning D.', 'Ray CA', 'Guo S.', 'Wang Q.', 'Wang L.', 'Wang B.', 'Guo L.', 'Hammer B.', 'Hitzler P.', 'Hitzler P.', 'Parsia B.', 'Schneide P.F.', 'Rudolph S.', 'Hitzler P.', 'Rudolph S.', 'Hitzler P.', 'Seda A.K.', 'Methods IWFM', 'Hitzler P.', 'Harmelen F.']
 Benavides D.E.	['Goodman N.D.', 'Goodman N.', 'Mansinghka V.', 'Roy D.M.', 'Bonawitz K.', 'Tenenbaum J.B.', 'Tenenbaum J.B.', 'Kemp C.', 'Griffiths T.L.', 'Goodman N.D.', 'Saxe R.', 'Houlihan S.D.', 'Ritchie D.', 'Horsfall P.', 'Goodman N.D.', 'Tran D.', 'Hoffman M.D.', 'Saurous R.A.', 'Brevdo E.', 'Murphy K.', 'Blei D.M.', 'Ong D.C.', 'Zaki J.', 'Goodman N.D.', 'Gerstenberg T.', 'Peterson M.F.', 'Goodman N.D.', 'Lagnado D.A.', 'Tenenbaum J.B.', 'Closkey M.', 'Gilbert D.T.', 'Heider F.', 'York NY', 'Ross L.', 'Gerstenberg T.', 'Tenenbaum J.B.', 'Gopnik A.', 'Meltzoff A.N.', 'Cambridge MA', 'Baker C.L.', 'Ettinger J.', 'Saxe R.', 'Tenenbaum J.B.', 'Wellman H.M.', 'Gelman S.A.', 'Wu Y.', 'Baker C.L.', 'Tenenbaum J.B.', 'Schulz L.E.', 'Ellsworth P.C.', 'Scherer K.R.', 'Lindquist K.A.', 'Wager T.D.', 'Kober H.', 'Moreau E.', 'Barrett L.F.', 'Ekman P.', 'Ortony A.', 'Turner T.J.', 'Wierzbicka A.']
 Berg R.L.	['Li K.', 'Singh M.P.', 'Saraswat V.K.', 'Qian B.', 'Hu R.', 'Merentitis A.', 'Debes C.', 'Deng Y.', 'Ren Z.', 'Kong Y.', 'Bao F.', 'Dai Q.', 'Liu J.', 'Wang J.', 'Wang H.', 'Hu Y.', 'Liu J.', 'Islam R.U.', 'Hossain M.S.', 'Andersson K.', 'Li G.', 'Zhou Z.', 'Hu C.', 'Chang L.', 'Zhou Z.', 'Zhao F.', 'Cheng C.', 'Qiao X.', 'Teng W.', 'Gao M.', 'Zhang B.', 'Yin X.', 'Luo H.', 'Kabir S.', 'Islam R.U.', 'Hossain M.S.', 'Andersson K.', 'Hossain M.S.', 'Rahaman S.', 'Andersson K.', 'Pattinson C.', 'Schmidhuber J.', 'Krizhevsky A.', 'Sutskever I.', 'Hinton G.E.', 'Ketkar N.']
 Besold T.R.	['Byrd W.E.', 'Might M.', 'Urtasun R.', 'Zemel R.', 'Ellis K.', 'Morales L.', 'Meyer M.', 'Lezama A.', 'Tenenbaum J.', 'Yi K.', 'Wu J.', 'Gan C.', 'Torralba A.', 'Kohli P.', 'Tenenbaum J.B.', 'Mao J.', 'Gan C.', 'Kohli P.', 'Tenenbaum J.B.', 'Wu J.', 'Ellis K.', 'Ritchie D.', 'Lezama A.', 'Tenenbaum J.', 'Kazemi S.M.', 'Buchman D.', 'Kersting K.', 'Natarajan S.', 'Poole D.', 'Blockeel H.', 'Guns T.', 'Meert W.', 'Blockeel H.', 'Cropper A.', 'Kimmig A.', 'Costa V.S.', 'Rocha R.', 'Demoen B.', 'Raedt L.', 'Vlasselaer J.', 'Broeck G.', 'Kimmig A.', 'Meert W.', 'Raedt L.', 'Kowsari K.', 'Meimandi K.J.', 'Heidarysafa M.', 'Mendu S.', 'Barnes L.E.', 'Brown D.E.', 'Zhu W.', 'Liu Y.', 'Hu G.', 'Ni J.', 'Lu Z.', 'Lee D.D.', 'Seung H.S.', 'Sadeghi M.', 'Zadeh M.', 'Jutten C.', 'Aharon M.', 'Elad M.', 'Bruckstein A.', 'Kim Y.', 'Cai L.', 'Hoffman T.', 'Xie M.', 'Yin H.', 'Wang H.', 'Xu F.', 'Chen W.', 'Wang S.', 'Teo J.', 'Setiono R.', 'Baesens B.', 'Mues C.', 'Hara A.', 'Hayashi Y.', 'Chakraborty M.', 'Biswas S.K.', 'Purkayastha B.', 'Hayashi Y.', 'Nakano S.', 'Fujisawa S.', 'Hayashi Y.', 'Hayashi Y.', 'Yukita S.', 'Rudy S.', 'Kheng W.', 'Iqbal R.A.', 'Zilke J.R.', 'Loza M.E.', 'Janssen F.', 'Bondarenko A.', 'Aleksejeva L.', 'Jumutc V.', 'Borisov A.', 'Fortuny E.J.D.', 'Martens D.', 'Hailesilassie T.', 'Tran S.N.', 'Garcez A.']
